호선명,지하철역,무임승차인원,무임하차인원,작업일자
5호선,공덕,50343,47265,20190603
5호선,마장,48743,47568,20190603
5호선,광나루(장신대),78019,73525,20190603
5호선,답십리,91908,89570,20190603
5호선,강동,113710,102956,20190603
5호선,군자(능동),44381,46781,20190603
5호선,영등포구청,22002,21758,20190603
5호선,오금,20626,20109,20190603
5호선,여의나루,33846,32578,20190603
5호선,장한평,104289,105352,20190603
5호선,화곡,161774,154484,20190603
5호선,행당,54732,49649,20190603
5호선,오목교(목동운동장앞),93812,92667,20190603
5호선,신길,12473,13114,20190603
5호선,마곡,31944,30420,20190603
5호선,마포,70717,69609,20190603
5호선,천호(풍납토성),151635,162987,20190603
5호선,발산,91225,88171,20190603
5호선,서대문,78265,75018,20190603
5호선,길동,70158,72051,20190603
5호선,애오개,44606,42831,20190603
5호선,종로3가,124345,131929,20190603
5호선,방화,54596,52217,20190603
5호선,아차산(어린이대공원후문),108914,107492,20190603
5호선,굽은다리(강동구민회관앞),73179,67333,20190603
5호선,송정,70140,71012,20190603
5호선,양평,31710,31001,20190603
5호선,신정(은행정),58273,52062,20190603
5호선,개롱,51636,52660,20190603
5호선,개화산,40397,39201,20190603
5호선,왕십리(성동구청),28868,28115,20190603
5호선,영등포시장,86264,88672,20190603
5호선,광화문(세종문화회관),107144,104065,20190603
5호선,목동,96594,101050,20190603
5호선,신금호,43109,47989,20190603
5호선,명일,68607,71528,20190603
5호선,까치산,173656,174685,20190603
5호선,충정로(경기대입구),17890,18162,20190603
5호선,둔촌동,67270,69027,20190603
5호선,김포공항,33185,32542,20190603
5호선,마천,55239,57467,20190603
5호선,을지로4가,45728,46621,20190603
5호선,동대문역사문화공원,9075,10239,20190603
5호선,청구,30250,23403,20190603
4호선,회현(남대문시장),247657,248580,20190603
4호선,노원,103790,101888,20190603
4호선,성신여대입구(돈암),102518,101139,20190603
4호선,길음,136751,136965,20190603
4호선,한성대입구(삼선교),88439,87952,20190603
